uuid,created_at,created_longitude,created_latitude,modified_at,modified_longitude,modified_latitude,accessed_at,content,tags,folder,flagged,languageGrammar
"E8A84A8C-5B40-44B7-AA29-C57C34E3E7C4",2022-09-04T08:17:32Z,-92.25709689541083,38.963722023676326,2022-09-04T08:17:32Z,-92.25709689541083,38.963722023676326,2022-09-04T08:17:32Z,"# abbozzo


*From LookUp*:
Noun
1.	A preliminary sketch for a painting or other work of art; a rough drawing; a cartoon.","vocabulary",0,false,MultiMarkdown
"E1722DFB-5FC5-4D7F-928D-A030E53B6DEE",2022-09-04T08:17:32Z,-92.25709689541083,38.963722023676326,2022-09-04T08:17:32Z,-92.25709689541083,38.963722023676326,2022-09-04T08:17:32Z,"# abbozzo


*From LookUp*:
Noun
1.	A preliminary sketch for a painting or other work of art; a rough drawing; a cartoon.","vocabulary",0,false,MultiMarkdown
"C6E94908-503D-4F0B-9017-B20080AEC775",2022-08-26T19:00:37Z,0.0,0.0,2022-08-26T19:00:37Z,0.0,0.0,2022-08-26T19:00:37Z,"# abdicate
 renounce throne","vocabulary",0,false,MultiMarkdown
"F644CAF2-2F0A-4E07-B285-BE21029671AE",2022-08-26T19:00:37Z,-92.38815307662185,38.93400192245629,2022-08-26T19:00:37Z,-92.38815307662185,38.93400192245629,2022-08-26T19:00:37Z,"# abdicate
 renounce throne","vocabulary",0,false,MultiMarkdown
"F446FE35-49EE-452D-A377-043A849480C9",2022-03-06T00:14:13Z,-92.38796087921818,38.93404303587874,2022-03-06T00:14:18Z,-92.38796087921818,38.93404303587874,2023-01-20T21:41:04Z,"# abstruse


## Adjective

1. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge; “the professor’s lectures were so abstruse that students tended to avoid them”; “a deep metaphysical theory”; “some recondite problem in historiography”
	- Synonyms
		- deep
		- recondite
	- Similar to
		- esoteric
	- Related
		- obscureness
		- obscurity
		- abstruseness
		- reconditeness
		- reconditeness
		- abstruseness
		- abstrusity
		- profoundness
		- profundity
		- reconditeness
		- abstruseness
		- abstrusity
		- profoundness
		- profundity
		- obscureness
		- obscurity
		- abstruseness
		- reconditeness

","vocabulary",0,false,MultiMarkdown
"C2679472-03FE-4BFF-9BF4-A4F66A954C95",2022-03-10T14:41:05Z,-92.33120248661594,38.91020930375802,2022-03-10T14:41:08Z,-92.33120248661591,38.91020930375801,2022-09-09T09:38:36Z,"# abyssal


## Adjective

1. relating to ocean depths from 2000 to 5000 meters
	- Pertains to
		- abyssal zone
2. resembling an abyss in depth; so deep as to be unmeasurable; “the abyssal depths of the ocean”
	- Synonyms
		- abysmal
		- unfathomable
	- Similar to
		- deep
	- Related
		- abyss
		- abysm
		- abyss
		- abysm

","vocabulary",0,false,MultiMarkdown
"7C18B3E2-8142-4E6D-ABC3-413BBC31E46E",2022-03-10T14:41:05Z,-92.33120248661594,38.91020930375802,2022-03-10T14:41:08Z,-92.33120248661591,38.91020930375801,2022-09-09T09:38:36Z,"# abyssal


## Adjective

1. relating to ocean depths from 2000 to 5000 meters
	- Pertains to
		- abyssal zone
2. resembling an abyss in depth; so deep as to be unmeasurable; “the abyssal depths of the ocean”
	- Synonyms
		- abysmal
		- unfathomable
	- Similar to
		- deep
	- Related
		- abyss
		- abysm
		- abyss
		- abysm

","vocabulary",0,false,MultiMarkdown
"F0B257BA-C6A5-4661-9D32-E2A8B62B8108",2022-03-11T19:48:02Z,-92.32785812952662,38.91541212901964,2022-03-11T19:48:05Z,-92.32785812952662,38.91541212901964,2022-03-11T19:48:02Z,"# accost


## Verb

1. speak to someone
	- Synonyms
		- address
		- come up to
	- Less specific
		- come
		- come up
	- More specific
		- greet
		- recognize
		- recognise
		- approach
	- Related
		- addressee
2. approach with an offer of sexual favors; “he was solicited by a prostitute”; “The young man was caught soliciting in the park”
	- Synonyms
		- hook
		- solicit
	- Less specific
		- offer
	- Related
		- solicitation
		- allurement

","vocabulary",0,false,MultiMarkdown
"BF6EB11F-B4C3-4F2B-A40E-FEDB629699B1",2022-03-11T19:48:02Z,-92.32785812952662,38.91541212901964,2022-03-11T19:48:05Z,-92.32785812952662,38.91541212901964,2022-03-11T19:48:02Z,"# accost


## Verb

1. speak to someone
	- Synonyms
		- address
		- come up to
	- Less specific
		- come
		- come up
	- More specific
		- greet
		- recognize
		- recognise
		- approach
	- Related
		- addressee
2. approach with an offer of sexual favors; “he was solicited by a prostitute”; “The young man was caught soliciting in the park”
	- Synonyms
		- hook
		- solicit
	- Less specific
		- offer
	- Related
		- solicitation
		- allurement

","vocabulary",0,false,MultiMarkdown
"D8E4BC82-C978-491C-B9B4-0827C4512ECD",2022-06-24T07:32:12Z,-92.38797696121317,38.93400707664466,2022-06-24T07:32:21Z,-92.38797696121317,38.93400707664466,2022-10-03T06:17:30Z,"# accoy


Word of the Day: ACCOY (v.) to make calm or serene; to quieten
-[@HaggardHawks](https://twitter.com/HaggardHawks/status/1540213134111215616)","vocabulary",0,false,MultiMarkdown
"3DFC4979-6353-4DB6-A923-5C4D3ACDD912",2022-06-24T07:32:12Z,-92.38797696121317,38.93400707664466,2022-06-24T07:32:21Z,-92.38797696121317,38.93400707664466,2022-10-03T06:17:30Z,"# accoy


Word of the Day: ACCOY (v.) to make calm or serene; to quieten
-[@HaggardHawks](https://twitter.com/HaggardHawks/status/1540213134111215616)","vocabulary",0,false,MultiMarkdown
